ISO_639	L1_st	L1_log10_scaled	All_Users_scaled	All_Users_log10_scaled
cnh; cnh	-0.08412748404297794	0.7601762833498196	-0.0763383117282163	0.8098237905802058
hak; hak; hak; hak; hak; hak; hak; hak; hak; hak; hak; hak; hak	1.706676450838451	2.4203022258451723	1.057430223014526	2.40087435743134
hal; hal	-0.09021990619601412	0.09102469184774174	-0.08121393283831256	0.07916232974365502
khk; khk	0.01802569261525312	1.5856400303359328	-0.013008892457506693	1.5678461874220166
hla	-0.08991137705254504	0.19722131259541675	-0.08101953008272658	0.18493750210804855
hur; hur	-0.0909280834233235	-1.1339455109911254	-0.0816601519633009	-1.1409464970182739
amf	-0.087879198427562	0.5219390169041398	-0.07955451091663068	0.5354707517025149
wos	-0.090643619553045	-0.1733930402259993	-0.08148091262265063	-0.18420604289747078
hni; hni; hni	-0.06001531442258211	1.21062309655007	-0.06218216227011971	1.1943175333886966
lml	-0.09063127838730624	-0.16123974385610915	-0.0814731365124272	-0.17210097769605445
hro	-0.08950000486125292	0.2974041788575852	-0.08076032640861196	0.28472278597332495
tmd	-0.0908575330925169	-0.554689926276937	-0.08161569853319024	-0.5639897267858064
mey; mey; mey; mey; mey; mey; mey	0.30436829969137946	1.9693371297278415	0.16741423137244393	1.9500205592443474
had	-0.09028161202470794	0.06434382435167346	-0.08125281338942976	0.052587347052504244
hau; hau; hau; hau; hau; hau; hau; hau	1.9072594744515283	2.4518002100490395	1.8315406997395085	2.5546609515153658
yuf	-0.09091142284957617	-0.8712815864350313	-0.08164965421449925	-0.8793249717925083
haw	-0.0908575330925169	-0.554689926276937	-0.08161569853319024	-0.5639897267858064
xed; xed	-0.08974682817602819	0.24141245889798266	-0.08091584861308074	0.22895327289458156
heb; heb	0.14782061229516635	1.8192076653095424	0.1543114856459492	1.9339942408713706
heh	-0.041163772384429795	1.352349864903299	-0.050303894700142515	1.335481849594488
hei	-0.0909370924743128	-1.5660770078948623	-0.08166582852376401	-1.57136305121053
scp	-0.09052020789565737	-0.06969516474655182	-0.08139070974405874	-0.06728305038169542
her; her; her	-0.0807089811333405	0.8812643100390987	-0.07522114389278223	0.8662658292228823
hrt	-0.0909396429818988	-2.3388269053571267	-0.08166743558654352	-2.341046239085677
hid	-0.09093158008694947	-1.238959776918128	-0.08166235519453088	-1.2455440068160812
tos	-0.08600334123526998	0.6642750151296233	-0.07855709517863757	0.6501376708249563
poi	-0.08938893436960406	0.31953034416978376	-0.080690341416601	0.30676114212047295
azz	-0.08579765513962392	0.6764298662176406	-0.07842749334158025	0.662244284574497
hil	0.16575643983550242	1.840774899507033	0.08007555337951816	1.8219685368220182
hin; hin; hin; hin; hin	13.906151208894107	3.031410887201491	15.432206316061482	3.17537492455338
gin	-0.0909151251992978	-0.9128317659055508	-0.0816519870475663	-0.9207102566002823
hix	-0.09089044286782026	-0.7066915913293388	-0.08163643482711941	-0.715388163076865
lic	-0.06350128237159147	1.1750115155970342	-0.0643786542045671	1.1588472793734965
