ISO_639	Language_ID	L2_prop	L1_scaled	L1_log10_st	Vehicularity	All_Users_scaled	All_Users_log10_scaled
mai	mait1250	0.04773561811505508	-0.154268753513948	0.7772035810527117	0	-0.178350298585096	0.6858872382392142
mak	maka1311	0.1895734597156398	-0.18237110408916188	0.5856672261403798	0	-0.19407178149454318	0.5265663880311006
mal	mala1464	0.01971830985915493	0.24419163927497883	1.2878351655256173	1	0.07172078273150338	1.2073340439367102
zlm	mala1479	0.2222222222222222	-0.069059332733139	1.0086009517758097	0	-0.10340459651297175	0.9741665900148541
xmm	mala1481	0.45180722891566266	-0.18095309557389877	0.6001954468688848	1	-0.18443988563609706	0.6358802778542034
mdy	male1284	0.06635117815242039	-0.20319391458647515	-0.08862982311172558	0	-0.21006048981222844	-0.2053811868569393
cmn; cmn; cmn; cmn; cmn	mand1415	0.17773337348198412	11.574154443948741	2.04937330916951	1	8.634586052264368	2.037821492243172
mar	mara1378	0.16161616161616163	0.8655371886902578	1.490395954789639	1	0.5771963091871475	1.4546684610069982
mfr	mari1424	0.7692307692307693	-0.2044144976434541	-2.1127600479675888	0	-0.21086737999709737	-1.974915049739805
msb	masb1238	0.3453038674033149	-0.19830436340611798	0.28667203844041056	1	-0.20510468038694513	0.26860538279808027
mym	meen1242	0.040050858232676415	-0.2024681520463905	0.0200961590466671	0	-0.2096157509513926	-0.09956278674918229
mfx	melo1242	0.18744971842316976	-0.20415429308090333	-0.44866955612611775	0	-0.21067000573444433	-0.544476308728087
nan	minn1241	0.7849898580121704	-0.20304824643899813	-0.06236101682557629	0	-0.20694349686901212	0.17593060647107334
ell	mode1248	0.05006418485237484	-0.19010569599059687	0.48496442733312434	1	-0.20156635170175563	0.3840466577589392
moh	moha1258	0.04878048780487805	-0.20438955358457198	-0.9933669023052224	0	-0.2108515789117428	-1.1461732581730268
wmw	mwan1247	0.12048192771084337	-0.20253260697890246	0.012249121536733997	0	-0.20954649682414592	-0.08658030536260544
ncz	natc1249	1	-0.20441469100825163	-2.7588745983898058	0	-0.21086784965152353	-2.516024860599956
nau	naur1243	0.0970873786407767	-0.2042948048337794	-0.6294150894156206	1	-0.21078590689452611	-0.7569558620299012
npi	nepa1254	0.41372735938989513	-0.04585555702883397	1.045472927114351	1	-0.0438619675698502	1.0804908281835635
new	newa1246	0.03706230104592997	-0.1934960254407259	0.42194800324539	0	-0.20386606634101603	0.31555408155279785
ncg	nisg1240	0.635593220338983	-0.20440360475985958	-1.1839914729503482	0	-0.21084911123594435	-1.112227587432475
num	niua1240	0.5	-0.20440824551500045	-1.3101780701468086	0	-0.21085993716847948	-1.319166747773373
max	nort2828	0.3	-0.19539100045657745	0.3775265473083954	1	-0.20290765290187807	0.3464924657838724
tur; tur	nucl1301	0.07031983708672736	0.7960509041464159	1.4747479718473755	1	0.4536533143746814	1.4135469666647538
kan	nucl1305	0.2564102564102564	0.3563432218457865	1.339835770760434	1	0.254806406487091	1.3277938903792448
mya	nucl1310	0.23809523809523808	0.20809687706828214	1.2682877132649775	1	0.12346237205373467	1.2478825697720195
wol	nucl1347	0.5193315858453473	-0.12877038221221726	0.8730059883880117	1	-0.11368923242132911	0.9499059523278645
nus	nuer1246	0.007267064624967558	-0.20244237007338572	0.023162453697583126	0	-0.2096410645289379	-0.10448811194514038
nup	nupe1254	0.10362694300518134	-0.18211328435911403	0.588376982590408	1	-0.19550462550654343	0.5050623247543664
ory	oriy1255	0.13383838383838384	0.237746146023783	1.2844626528637477	1	0.10435778522706465	1.2336923757734488
pan	panj1256	0.1037463976945245	0.19649498921612962	1.261639626880273	1	0.06535258712261338	1.2018371969416668
pmy	papu1250	0.5454545454545454	-0.1979691977570558	0.2991163464219226	1	-0.20211162845076683	0.3694778021438008
lae	patt1248	0.23255813953488372	-0.20420198973096218	-0.4958154451774274	0	-0.21069675215600167	-0.5794934906143938
pis	piji1239	0.9397163120567376	-0.20397639746717033	-0.32733724468563813	1	-0.20637831950872312	0.20837793736207821
pif	ping1243	0.4444444444444444	-0.20438246354199566	-0.9354926000500157	0	-0.21083207631269058	-0.9566252927135637
ppl	pipi1250	0.6153846153846154	-0.20440824551500045	-1.3101780701468086	0	-0.21085754909512613	-1.25594960762424
pol; pol	poli1260	0.017814567762329557	0.26822043811543694	1.2999945378221658	1	0.08628006994232815	1.2194495806660404
por; por; por; por; por; por; por; por	port1283	0.10363348632685844	2.6082635951849333	1.7156312644963851	1	1.7267792391890509	1.6716314395443432
pum	puma1239	0.0456490727532097	-0.20432845030855065	-0.70616768170619	0	-0.21081209609896767	-0.8497461708589261
ahg	qima1242	0.6583850931677019	-0.2043934208805227	-1.0322748960678865	0	-0.2108294494320019	-0.9395620205220443
rji	raji1240	0.01415836392239119	-0.20436622089900264	-0.8404150269424634	0	-0.2108375370404252	-0.9965038686380824
rau	raut1239	0.08183632734530938	-0.20440876115446055	-1.3295685901370016	0	-0.2108639093304905	-1.485607018427622
rug	rovi1238	0.6184770003865481	-0.20428745697147305	-0.6155542506977851	1	-0.2106619658874881	-0.5348726048190373
rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus; rus	russ1263	0.3792261261604563	1.7485896162233017	1.6306269137918576	1	1.7318512681841964	1.6722618903923516
sat	sant1410	0.019261006289308175	-0.20377143078178228	-0.23793250884123618	0	-0.21046288017226517	-0.37175743621162544
ksw	sgaw1245	0.03902439024390244	-0.17901944759854002	0.6186512436216406	1	-0.19454939616520994	0.5196092629285552
she	shek1245	0.11227749885896851	-0.2039132316333086	-0.2959635270552082	0	-0.21051907949851364	-0.4077816101551248
sna	shon1251	0.20089285714285715	-0.1121152276511272	0.9193793535238336	1	-0.13954410659342253	0.8753088942596385
sid	sida1246	0.02274262553478946	-0.14846780958787176	0.8027129667563502	0	-0.17551645153913994	0.7060383556387773
slv; slv	slov1268	0.08646616541353383	-0.1793546132476022	0.6155551594608151	1	-0.19392849709334317	0.5286149822545727
som	soma1255	0.014026644756147661	-0.11778726171217954	0.9045997511116951	1	-0.1566140549230522	0.8093370878786318
hrv	sout1528	0.9457329430308489	-0.20348267268412873	-0.1515232690394353	0	-0.2002624636508354	0.4156839123712171
sot	sout2807	0.6723404255319149	-0.15478439297404367	0.7747949135707313	1	-0.11733502440741864	0.9406842780435121
hax	sout2956	0	-0.20441460077134613	-2.274288685573143	0	-0.210867841691279	-2.4838219321412986
cat	stan1289	0.5788876276958003	-0.1565891310843785	0.7661629451601477	1	-0.1407381432700894	0.8712373788555621
fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra; fra	stan1290	0.6558763517915309	0.8169957922859068	1.4795762591681982	1	1.6219784012706637	1.658221697430872
eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng; eng	stan1293	0.6772961283796904	4.52681970591574	1.8368216926685428	1	8.842507798099517	2.043424700943898
pga	suda1237	0.7640878701050621	-0.20123061734216088	0.13477483335497023	1	-0.20253352140985578	0.3575688473981221
suz	sunw1242	0.039235412474849095	-0.20392225532386027	-0.3001950665032691	0	-0.21055139809122875	-0.43122914482193836
swh; swh; swh	swah1253	0.7741198523812314	-0.005584115195362361	1.0982150345292714	1	0.3326894387838158	1.3650895526761473
swe; swe	swed1254	0.9124087591240876	-0.2005164566899284	0.18193247746359006	1	-0.18338594926282575	0.6453109485139813
tam	tami1289	0.10403120936280884	0.6837742790065351	1.4470081754976791	1	0.40127490549156114	1.3937471340675618
tel	telu1262	0.13844515441959532	0.8384661170352352	1.4844239772240588	1	0.5365990621804737	1.4419134408450602
