Glottocode	L2_prop	L1_scaled	L1_log10_scaled	All_users_scaled	All_Users_log10_scaled	number_of_lgs_in_ethnologue	ISO_639
tuvi1240	0	-0.07596935773594503	0.9321422154387888	-0.07242463681642808	0.9067179135909228	1	tyv
tuwa1243	0	-0.08737325267981864	0.3581686438377443	-0.07891763705722107	0.28791252501797804	1	ifk
tuwu1238	0	-0.08816768131635815	0.11592860697799924	-0.07936995842231002	0.02675165010384416	1	bov
twan1247	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	twa
ubir1237	0	-0.08854524847479951	-0.25794917549894425	-0.07958493266249209	-0.3763289060602421	1	ubr
ubyk1235	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	uby
udih1248	0	-0.08865031806866441	-1.0674023369188783	-0.07964475581077804	-1.2490066788135503	1	ude
udii1243	0	-0.0883914880935338	-0.03816437714968101	-0.07949738659182971	-0.13937719909301718	1	udi
uduk1239	NA	NA	NA	NA	NA	1	udu
ughe1237	0	-0.08860333572994433	-0.4475398897759676	-0.0796180056225201	-0.5807281352630141	1	uge
ugon1239	0	-0.08864818250781349	-0.9667138576154396	-0.07964353989312996	-1.140453643198365	1	ugo
ukaa1243	0	-0.08788578728403768	0.23027898600941168	-0.07920945729276234	0.15003368647464202	1	kcf
ukra1253	0.17481832457734656	1.080663212483458	2.0647478169446885	0.7271701040725083	2.1796554884738897	1	ukr
ulch1241	0	-0.08864818250781349	-0.9667138576154396	-0.07964353989312996	-1.140453643198365	1	ulc
ulit1238	0	-0.08861187797334798	-0.4931459800554068	-0.07962286929311245	-0.6298964172414693	1	uli
ulwa1239	0	-0.08863964026440985	-0.7555254774476404	-0.0796386762225376	-0.9127698017850856	1	ulw
umaa1242	0	-0.08785161831042307	0.2411657454473156	-0.07919000261039291	0.16177078681792206	1	ppk
uman1240	0	-0.08853457067054495	-0.2346291262599849	-0.07957885307425164	-0.35118737891535673	1	gdn
umbu1235	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	1	umr
umbu1257	0	0.2094697055970413	1.7225763645075471	0.09009491602709103	1.7588911406463967	1	umb
umbu1258	0	-0.08728783024578213	0.37432660777444654	-0.07886900035129753	0.3053325520838731	1	ubu
umes1235	0	-0.08865373496602587	-1.4606323935880436	-0.07964670127901498	-1.6729510728680888	1	sju
umii1235	0	-0.08865458919036623	-2.222888343492784	-0.07964718764607422	-2.4947451634167415	2	xud, xun
umot1240	NA	-0.08865458919036623	-2.222888343492784	NA	NA	1	umo
unaa1239	0	-0.08841540637506402	-0.06202308765425719	-0.0795110048694883	-0.1650994611537096	1	mtg
unea1237	0	-0.0881420545861472	0.12876979198973415	-0.07935536741053296	0.04059583191653383	1	bbn
