"","model","response","effect","2.5%","50%","97.5%","WAIC","sample"
"157","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","spatial SD",0.58,0.7,0.86,101.35,"L2"
"158","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","Intercept",0.35,0.4,0.46,101.35,"L2"
"159","Phylogenetic+Spatial: local+L1 speakers (linear)","fusion","L1",-0.11,0.06,0.24,101.35,"L2"
"160","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","phylogenetic SD",0.25,0.5,0.93,101.45,"L2"
"161","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","spatial SD",0.58,0.71,0.86,101.45,"L2"
"162","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","Intercept",0.32,0.39,0.46,101.45,"L2"
"163","Phylogenetic+Spatial: local+L1 speakers (nonlinear)","fusion","social SD:
L1",0,0.01,0.03,101.45,"L2"
"164","Phylogenetic+Spatial: local+L2 proportion (linear)","fusion","phylogenetic SD",0.26,0.51,0.92,101.68,"L2"
"165","Phylogenetic+Spatial: local+L2 proportion (linear)","fusion","spatial SD",0.58,0.71,0.87,101.68,"L2"
"166","Phylogenetic+Spatial: local+L2 proportion (linear)","fusion","Intercept",0.27,0.4,0.54,101.68,"L2"
"167","Phylogenetic+Spatial: local+L2 proportion (linear)","fusion","L2 proportion",-0.6,0,0.59,101.68,"L2"
"168","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","fusion","phylogenetic SD",0.26,0.51,0.92,102.54,"L2"
"169","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","fusion","spatial SD",0.58,0.71,0.87,102.54,"L2"
"170","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","fusion","Intercept",0.24,0.4,0.55,102.54,"L2"
"171","Phylogenetic+Spatial: local+L2 proportion (nonlinear)","fusion","social SD:
L2 proportion",0,0.01,0.03,102.54,"L2"
"172","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","fusion","phylogenetic SD",0.25,0.51,0.94,102.98,"L2"
"173","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","fusion","spatial SD",0.58,0.7,0.87,102.98,"L2"
"174","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","fusion","Intercept",0.27,0.4,0.54,102.98,"L2"
"175","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","fusion","L1",-0.11,0.06,0.24,102.98,"L2"
"176","Phylogenetic+Spatial: local+L1 speakers (linear)+L2 proportion (linear)","fusion","L2 proportion",-0.58,0.02,0.62,102.98,"L2"
"177","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","phylogenetic SD",0.25,0.51,0.94,103.27,"L2"
"178","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","spatial SD",0.58,0.7,0.87,103.27,"L2"
"179","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","Intercept",0.23,0.39,0.54,103.27,"L2"
"180","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","social SD:
L1",0,0.01,0.03,103.27,"L2"
"181","Phylogenetic+Spatial: local+L1 speakers (nonlinear)+L2 proportion (nonlinear)","fusion","social SD:
L2 proportion",0,0.01,0.03,103.27,"L2"
"182","L1 speakers (linear)","fusion","Intercept",0.27,0.41,0.54,272.91,"L2"
"183","L1 speakers (linear)","fusion","L1",-0.01,0.16,0.32,272.91,"L2"
